活动id;子活动id;条件;数字选填;小数必填;字符串选填;#注释列;资质;数组;字符数组
id;sub_id;condition;pwadd;rate;desc;exp;quality;awards;props
string#index;string#index;number#required;number#optional;number#required;string#optional;number#required;string#index;[number]#required;[string]#required
202105;1;10;100;0.1;等级1;100;13资;1|2;aa|bb
202105;2;20;;0.2;等级2;120;14资;2|3;bb|cc
202105;1;30;;0.3;等级3;140;15资;1|3|5;aa|bb
202105;2;40;;0.4;;160;13资;2|4|6|;bb|cc
202105;1;50;20;0.5;等级5;180;14资;1|4;aa|bb
202105;1;60;100;0.1;等级1;100;13资;2|5;bb|cc
202105;2;70;;0.2;等级2;120;14资;1|5;aa|bb
202105;1;80;;0.3;等级3;140;15资;2|6;bb|cc
202105;2;90;;0.4;;160;13资;1|6;aa|bb
202105;1;100;20;0.5;等级5;180;14资;2|7;bb|cc
202106;1;110;;0.6;等级6;200;15资;1|7;aa|bb|ff|
202106;2;120;;0.7;等级7;220;13资;2|8;bb|cc|dd
202106;1;130;;0.8;等级8;240;14资;1|8;aa|bb
202106;2;140;20;0.9;等级9;260;15资;2|9;bb|cc
202106;1;150;100;0.1;等级10;100;13资;1|9;aa|bb
